,Country,Region,Happiness Rank,Happiness Score,Standard Error,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity,Dystopia Residual,Year,Lower Confidence Interval,Upper Confidence Interval,Whisker.high,Whisker.low
372,Bolivia,Latin America and Caribbean,58,5.822999954,,0.833756566,1.227619052,0.4736302495,0.5587329268,0.06047772616,0.2255607247,2.443279028,2017,,,5.903976903,5.742023006
373,Turkmenistan,Commonwealth of Independent States,59,5.822000027,,1.130776763,1.493149161,0.4377260804,0.418271929,0.2592703402,0.2499249876,1.832909822,2017,,,5.885180876,5.758819178
374,Kazakhstan,Commonwealth of Independent States,60,5.818999767,,1.28455627,1.384369016,0.6060415506,0.4374542832,0.1192828864,0.2019644231,1.784892559,2017,,,5.903641775,5.73435776
375,North Cyprus,Western Europe,61,5.809999943,,1.346911311,1.186303377,0.8346472383,0.4712036252,0.1553533524,0.2668457031,1.549157619,2017,,,5.897366465,5.722633421
376,Slovenia,Central and Eastern Europe,62,5.757999897,,1.341205955,1.452518821,0.790828228,0.5725758076,0.04512897879,0.2426490933,1.313317299,2017,,,5.84222516,5.673774634
377,Peru,Latin America and Caribbean,63,5.715000153,,1.035225272,1.218770385,0.6301661134,0.4500028789,0.04704908654,0.1268197149,2.20726943,2017,,,5.811946779,5.618053527
378,Mauritius,Sub-Saharan Africa,64,5.629000187,,1.189395547,1.20956099,0.638007462,0.4912473261,0.04218155518,0.3609337509,1.697583914,2017,,,5.729862192,5.528138182
379,Cyprus,Western Europe,65,5.620999813,,1.355938077,1.131363273,0.8447147012,0.3551115394,0.0412379764,0.2712543011,1.621249199,2017,,,5.714692699,5.527306927
380,Estonia,Central and Eastern Europe,66,5.611000061,,1.32087934,1.4766711,0.6951683164,0.4791314304,0.1832489222,0.0988908112,1.357508659,2017,,,5.688139874,5.533860248
381,Belarus,Commonwealth of Independent States,67,5.568999767,,1.15655756,1.444945216,0.6377142668,0.2954002619,0.1563138217,0.1551375091,1.723232985,2017,,,5.646114244,5.491885291
382,Libya,Middle East and North Africa,68,5.525000095,,1.101803064,1.35756433,0.5201690197,0.4657332301,0.09261021018,0.1520736665,1.835011244,2017,,,5.676953807,5.373046384
383,Turkey,Middle East and North Africa,69,5.5,,1.198274374,1.337753177,0.6376056075,0.3007405996,0.0996715799,0.04669304192,1.879277945,2017,,,5.594864963,5.405135037
384,Paraguay,Latin America and Caribbean,70,5.493000031,,0.9325373173,1.50728488,0.5792506933,0.4735077918,0.09106591344,0.2241506577,1.68533349,2017,,,5.57738127,5.408618791
385,"Hong Kong S.A.R., China",East Asia,71,5.472000122,,1.551674843,1.262790918,0.9430624247,0.4909686446,0.2939337492,0.3744657934,0.5546331406,2017,,,5.549594173,5.394406071
386,Philippines,Southeast Asia,72,5.429999828,,0.8576992154,1.253917575,0.4680090547,0.5852146745,0.09933189303,0.1935134232,1.972604752,2017,,,5.545335054,5.314664602
387,Serbia,Central and Eastern Europe,73,5.394999981,,1.069317579,1.258189797,0.6507846713,0.2087155282,0.04090378061,0.2201258838,1.947084427,2017,,,5.491569656,5.298430306
388,Jordan,Middle East and North Africa,74,5.335999966,,0.9910123944,1.239088893,0.6045900583,0.4184211493,0.1198032722,0.1721704602,1.791176558,2017,,,5.448410022,5.223589909
389,Hungary,Central and Eastern Europe,75,5.323999882,,1.286011934,1.343133092,0.6877634525,0.1758635193,0.03663693741,0.07840166241,1.716459274,2017,,,5.403039709,5.244960054
390,Jamaica,Latin America and Caribbean,76,5.31099987,,0.9255793095,1.368218064,0.6410223842,0.4743072391,0.05526778102,0.2338183373,1.612325668,2017,,,5.581398728,5.040601012
391,Croatia,Central and Eastern Europe,77,5.293000221,,1.222556233,0.9679830074,0.7012885213,0.2557722926,0.04310311005,0.2480029762,1.854492426,2017,,,5.391777205,5.194223238
392,Kosovo,Central and Eastern Europe,78,5.278999805,,0.9514843822,1.137853503,0.5414520502,0.2602879405,0.05747161806,0.3199314475,2.010540724,2017,,,5.364847995,5.193151615
393,China,East Asia,79,5.272999763,,1.081165791,1.160837412,0.7414155006,0.472787708,0.02279427461,0.028806841,1.764938593,2017,,,5.31927809,5.226721437
394,Pakistan,South Asia,80,5.269000053,,0.7268835306,0.6726906896,0.4020477831,0.2352152616,0.1243480667,0.3154460192,2.79248929,2017,,,5.359983641,5.178016465
395,Indonesia,Southeast Asia,81,5.262000084,,0.9955385923,1.274444699,0.4923457205,0.4433234632,0.01531713549,0.6117045879,1.429476976,2017,,,5.352888598,5.17111157
396,Venezuela,Latin America and Caribbean,82,5.25,,1.128431201,1.431337595,0.617144227,0.1539971232,0.06449112296,0.0650196299,1.789463758,2017,,,5.370031946,5.129968054
397,Montenegro,Central and Eastern Europe,83,5.236999989,,1.121129036,1.238376498,0.6674646735,0.1949890554,0.0881741941,0.1979110241,1.729191542,2017,,,5.341044441,5.132955537
398,Morocco,Middle East and North Africa,84,5.235000134,,0.8781145811,0.7748644352,0.597710669,0.4081583321,0.08776318282,0.03220995516,2.456189394,2017,,,5.318340965,5.151659302
399,Azerbaijan,Commonwealth of Independent States,85,5.234000206,,1.153601766,1.152400255,0.5407757759,0.3981558383,0.1809875071,0.04526934028,1.762481689,2017,,,5.299286535,5.168713877
400,Dominican Republic,Latin America and Caribbean,86,5.230000019,,1.079373837,1.402416706,0.5748737454,0.5525898337,0.1139452532,0.1869678497,1.31946516,2017,,,5.349060885,5.110939153
401,Greece,Western Europe,87,5.227000237,,1.289487481,1.239414573,0.8101989031,0.09573125094,0.04328977689,0.0,1.749221563,2017,,,5.325246169,5.128754304
402,Lebanon,Middle East and North Africa,88,5.224999905,,1.074987531,1.129624248,0.7350810766,0.288515985,0.03751382977,0.2644507587,1.695073843,2017,,,5.318882288,5.131117521
403,Portugal,Western Europe,89,5.195000172,,1.315175295,1.367043018,0.7958435416,0.4984652996,0.01586945169,0.09510271251,1.107682705,2017,,,5.285041733,5.10495861
404,Bosnia and Herzegovina,Central and Eastern Europe,90,5.18200016,,0.9824094176,1.069335938,0.7051863074,0.2044031769,0.0,0.3288674951,1.892172575,2017,,,5.276335687,5.087664634
405,Honduras,Latin America and Caribbean,91,5.181000233,,0.7305731177,1.143944979,0.5825694799,0.3480798602,0.07334545255,0.2361888736,2.065811157,2017,,,5.301582797,5.060417669
406,Macedonia,Western Europe,92,5.175000191,,1.064577937,1.207893014,0.6449481845,0.3259059787,0.06027779356,0.2537609637,1.617469311,2017,,,5.27217264,5.077827742
407,Somalia,Central and Eastern Europe,93,5.151000023,,0.02264318429,0.7211513519,0.1139891371,0.602126956,0.2824103236,0.2916313112,3.11748457,2017,,,5.24248371,5.059516336
408,Vietnam,Southeast Asia,94,5.073999882,,0.7885475755,1.277491331,0.6521689892,0.5710555911,0.08763323724,0.2349680513,1.462318659,2017,,,5.147280765,5.000718999
409,Nigeria,Sub-Saharan Africa,95,5.073999882,,0.7837562561,1.215770483,0.05691573024,0.3949525654,0.02612156607,0.2309471965,2.365390539,2017,,,5.209500135,4.938499628
410,Tajikistan,Commonwealth of Independent States,96,5.040999889,,0.5247136354,1.271463275,0.5292351246,0.4715667069,0.1463771462,0.2489976436,1.84904933,2017,,,5.111425596,4.970574183
411,Bhutan,Sub-Saharan Africa,97,5.011000156,,0.8854163885,1.340126514,0.4958792925,0.5015376806,0.1733803898,0.4740545452,1.140184402,2017,,,5.079334562,4.942665751
412,Kyrgyzstan,Commonwealth of Independent States,98,5.004000187,,0.5962200761,1.394238591,0.5534577966,0.4549433887,0.039439179,0.4285803735,1.536723137,2017,,,5.089919903,4.918080471
413,Nepal,South Asia,99,4.961999893,,0.4798201919,1.179283261,0.5041307807,0.4403059483,0.07297554612,0.3940961659,1.891241074,2017,,,5.067356079,4.856643707
414,Mongolia,East Asia,100,4.954999924,,1.027235866,1.493011236,0.5577834845,0.3941439688,0.03290228918,0.3384642303,1.111292362,2017,,,5.021679509,4.888320338
415,South Africa,Sub-Saharan Africa,101,4.828999996,,1.054698706,1.384788632,0.1870800704,0.4792467356,0.0725094974,0.1393623799,1.510908604,2017,,,4.929435188,4.728564805
416,Tunisia,Middle East and North Africa,102,4.804999828,,1.007265806,0.8683514595,0.613212049,0.2896806896,0.08672314882,0.0496933572,1.89025116,2017,,,4.884367007,4.72563265
417,Palestinian Territories,Middle East and North Africa,103,4.775000095,,0.7162492275,1.155647159,0.5656669736,0.2547110617,0.08928260207,0.1141731739,1.878890276,2017,,,4.881848343,4.668151848
418,Egypt,Middle East and North Africa,104,4.735000134,,0.9897018075,0.9974713922,0.5201872587,0.2821101546,0.1143813655,0.1286314428,1.702161074,2017,,,4.82513379,4.644866477
419,Bulgaria,Central and Eastern Europe,105,4.714000225,,1.161459088,1.434379458,0.7082176805,0.2892317176,0.01105153095,0.1131776944,0.9961392879,2017,,,4.803694706,4.624305744
420,Sierra Leone,Sub-Saharan Africa,106,4.709000111,,0.3684209287,0.984136045,0.005564753897,0.318697691,0.07109517604,0.2930409014,2.668459892,2017,,,4.850643335,4.567356886
421,Cameroon,Sub-Saharan Africa,107,4.695000172,,0.5643053651,0.946018219,0.1328921169,0.4303887486,0.05130663142,0.2362984568,2.333645582,2017,,,4.796540857,4.593459486
422,Iran,Middle East and North Africa,108,4.691999912,,1.156873107,0.711551249,0.6393331885,0.2493226081,0.0487610735,0.3872429132,1.498734951,2017,,,4.798224708,4.585775117
423,Albania,Central and Eastern Europe,109,4.644000053,,0.9961927533,0.8036852479,0.7311597466,0.3814986348,0.039864216,0.2013129443,1.490441561,2017,,,4.752464006,4.5355361
424,Bangladesh,South Asia,110,4.607999802,,0.5866829753,0.7351317406,0.5332410336,0.4783566594,0.1237178594,0.1722553521,1.978736162,2017,,,4.689821658,4.526177945
425,Namibia,Sub-Saharan Africa,111,4.573999882,,0.9644343257,1.098470807,0.3386118114,0.5203035474,0.09314697236,0.07713374496,1.481890202,2017,,,4.770354741,4.377645023
426,Kenya,Sub-Saharan Africa,112,4.552999973,,0.5604794621,1.067950726,0.3099883497,0.4527637661,0.06464131922,0.4448603094,1.651902199,2017,,,4.655691591,4.450308356
427,Mozambique,Sub-Saharan Africa,113,4.550000191,,0.23430565,0.870701015,0.1066544354,0.4807910919,0.1794363856,0.3222281039,2.355650902,2017,,,4.774102326,4.325898055
428,Myanmar,Southeast Asia,114,4.545000076,,0.3671105504,1.123235941,0.3975225687,0.5144920349,0.1888162047,0.838075161,1.115290403,2017,,,4.614739946,4.475260206
429,Senegal,Sub-Saharan Africa,115,4.534999847,,0.4793090224,1.179691911,0.4093628526,0.3779222667,0.115460448,0.1834688932,1.789646149,2017,,,4.601603781,4.468395914
430,Zambia,Sub-Saharan Africa,116,4.513999939,,0.6364067793,1.003187299,0.2578358948,0.4616034925,0.07821355015,0.2495801449,1.826705456,2017,,,4.644105501,4.383894376
431,Iraq,Middle East and North Africa,117,4.497000217,,1.102710485,0.9786131978,0.50118047,0.2885555327,0.1072157547,0.199637264,1.318907261,2017,,,4.62259141,4.371409025
432,Gabon,Sub-Saharan Africa,118,4.465000153,,1.198210239,1.155620217,0.3565785885,0.312328577,0.0760467872,0.04378537834,1.322916269,2017,,,4.557361766,4.37263854
433,Ethiopia,Sub-Saharan Africa,119,4.460000038,,0.3392338455,0.8646692038,0.3534097075,0.4088427424,0.1654557139,0.3126507401,2.015743732,2017,,,4.542728677,4.3772714
434,Sri Lanka,South Asia,120,4.440000057,,1.009850144,1.259976387,0.6251308322,0.5612132549,0.07365396619,0.4908635616,0.4193892479,2017,,,4.553447192,4.326552922
435,Armenia,Commonwealth of Independent States,121,4.375999928,,0.9005967379,1.007483721,0.637524426,0.1983032674,0.0266744215,0.08348809183,1.521499157,2017,,,4.466734612,4.285265243
436,India,South Asia,122,4.315000057,,0.7922212481,0.7543725967,0.4554276168,0.469987005,0.09222688526,0.2315384895,1.519117117,2017,,,4.371522017,4.258478097
437,Mauritania,Sub-Saharan Africa,123,4.291999817,,0.6484572887,1.27203083,0.2853492796,0.09609804302,0.1369570047,0.2018700242,1.651637316,2017,,,4.377163616,4.206836018
438,Congo (Brazzaville),Sub-Saharan Africa,124,4.290999889,,0.8089642525,0.832044363,0.2899574339,0.4350258708,0.0796181336,0.1208521277,1.724135637,2017,,,4.410053505,4.171946274
439,Georgia,Commonwealth of Independent States,125,4.285999775,,0.9506126642,0.570614934,0.6495469809,0.3094100356,0.2516666353,0.05400881544,1.500137806,2017,,,4.374933966,4.197065584
440,Congo (Kinshasa),Sub-Saharan Africa,126,4.28000021,,0.0921023488,1.229023457,0.1914070249,0.2359613478,0.06024135649,0.2464558333,2.224958658,2017,,,4.357810833,4.202189587
441,Mali,Sub-Saharan Africa,127,4.190000057,,0.4761804938,1.281473398,0.1693656743,0.3066137433,0.1049702466,0.1833541989,1.668190956,2017,,,4.269670711,4.110329403
442,Ivory Coast,Sub-Saharan Africa,128,4.179999828,,0.6030489206,0.9047800303,0.04864216968,0.4477061927,0.1300617754,0.2012374699,1.844964266,2017,,,4.275182563,4.084817093
443,Cambodia,Southeast Asia,129,4.168000221,,0.6017650962,1.006238341,0.4297834039,0.6333758235,0.06810595095,0.3859229684,1.042941093,2017,,,4.278517814,4.057482629
444,Sudan,South Asia,130,4.138999939,,0.6595166922,1.21400857,0.2909208238,0.01499585528,0.08984751999,0.1823174506,1.68706584,2017,,,4.345747165,3.932252713
445,Ghana,Sub-Saharan Africa,131,4.119999886,,0.6672248244,0.8736647367,0.2956377268,0.4230262935,0.02533636987,0.2569239438,1.577867508,2017,,,4.222707209,4.017292563
446,Ukraine,Commonwealth of Independent States,132,4.096000195,,0.8946519494,1.394537568,0.5759039521,0.1229747757,0.02302947082,0.2700614631,0.8143823147,2017,,,4.185410105,4.006590285
447,Uganda,Sub-Saharan Africa,133,4.080999851,,0.3814307153,1.129827738,0.2176326066,0.4431859553,0.05706971884,0.3257660568,1.526362658,2017,,,4.195799967,3.966199735
448,Burkina Faso,Sub-Saharan Africa,134,4.032000065,,0.3502277136,1.043280005,0.2158442587,0.324367851,0.120328106,0.2508646846,1.727212906,2017,,,4.124059064,3.939941065
449,Niger,Sub-Saharan Africa,135,4.027999878,,0.1619253308,0.9930250049,0.268505007,0.3636586964,0.1385729462,0.2286738455,1.873983383,2017,,,4.11194682,3.944052936
450,Malawi,Sub-Saharan Africa,136,3.970000029,,0.2334420383,0.5125688314,0.3150895834,0.4669146538,0.07271165401,0.2871704698,2.081786156,2017,,,4.077478817,3.86252124
451,Chad,Sub-Saharan Africa,137,3.936000109,,0.4380129874,0.9538558722,0.04113471508,0.1623420268,0.05358188227,0.2161138505,2.071238041,2017,,,4.034711524,3.837288693
452,Zimbabwe,Sub-Saharan Africa,138,3.875,,0.375846535,1.083095908,0.1967637539,0.336384207,0.09537538141,0.1891434938,1.597970247,2017,,,3.978699643,3.771300357
453,Lesotho,Sub-Saharan Africa,139,3.808000088,,0.5210212469,1.190095186,0.0,0.3906612992,0.11909464,0.1574972719,1.42983532,2017,,,4.044343975,3.5716562
454,Angola,Middle East and North Africa,140,3.795000076,,0.8584281802,1.10441196,0.04986866564,0.0,0.0697203353,0.09792649001,1.614482403,2017,,,3.951641935,3.638358217
455,Afghanistan,South Asia,141,3.79399991,,0.4014772177,0.5815433264,0.1807467788,0.1061795205,0.06115783006,0.3118709326,2.150801182,2017,,,3.873661415,3.714338405
456,Botswana,Sub-Saharan Africa,142,3.766000032,,1.122094154,1.221554995,0.3417555094,0.5051963329,0.09858319908,0.09934844822,0.3779137135,2017,,,3.874122666,3.657877399
457,Benin,Sub-Saharan Africa,143,3.657000065,,0.4310854077,0.4352998435,0.2099302113,0.4259627759,0.06092901528,0.2079484612,1.885630965,2017,,,3.745783551,3.568216578
458,Madagascar,Sub-Saharan Africa,144,3.644000053,,0.3058086932,0.9130203724,0.3752233088,0.1891967654,0.0672319755,0.2087325305,1.584612608,2017,,,3.714319106,3.573681001
459,Haiti,Latin America and Caribbean,145,3.602999926,,0.3686102629,0.6404498219,0.27732113,0.03036985733,0.09987214953,0.4892037809,1.697167635,2017,,,3.734714798,3.471285053
460,Yemen,Middle East and North Africa,146,3.592999935,,0.5916834474,0.935382247,0.3100809157,0.2494637221,0.05676742271,0.1041252092,1.345600605,2017,,,3.69275032,3.49324955
461,South Sudan,East Asia,147,3.59100008,,0.3972486258,0.6013231277,0.1634860039,0.1470624357,0.1167935133,0.2856708169,1.879567385,2017,,,3.725538586,3.456461574
462,Liberia,Sub-Saharan Africa,148,3.532999992,,0.119041793,0.8721179366,0.2299181968,0.3328811824,0.03894824907,0.2665498853,1.673285961,2017,,,3.653756261,3.412243724
463,Guinea,Sub-Saharan Africa,149,3.506999969,,0.2445499301,0.7912446856,0.1941291392,0.348587513,0.1109376177,0.2648150921,1.552311897,2017,,,3.584428129,3.42957181
464,Togo,Sub-Saharan Africa,150,3.494999886,,0.3054447174,0.4318825305,0.2471055686,0.3804261386,0.09566501528,0.1968961507,1.837229252,2017,,,3.594038112,3.395961659
465,Rwanda,Sub-Saharan Africa,151,3.470999956,,0.3687458932,0.9457070231,0.3264248073,0.581843853,0.4552200139,0.2527560294,0.5400612354,2017,,,3.543030234,3.398969679
466,Syria,Western Europe,152,3.461999893,,0.7771531343,0.3961026073,0.5005333424,0.08153944463,0.1513471305,0.4936637282,1.061573505,2017,,,3.663668557,3.26033123
467,Tanzania,Sub-Saharan Africa,153,3.348999977,,0.5111358762,1.041989803,0.3645092845,0.3900177777,0.06603510678,0.3542563617,0.6211304665,2017,,,3.461429755,3.236570199
468,Burundi,Sub-Saharan Africa,154,2.904999971,,0.09162256867,0.6297935843,0.1516107917,0.0599007532,0.08414794505,0.2044351846,1.683024168,2017,,,3.074690333,2.73530961
469,Central African Republic,North America and ANZ,155,2.693000078,,0.0,0.0,0.0187726859,0.2708420455,0.05656507611,0.2808764875,2.066004753,2017,,,2.864884269,2.521115887
470,Finland,Western Europe,1,7.632,,1.305,1.592,0.874,0.681,0.393,0.202,2.585,2018,,,,
471,Norway,Western Europe,2,7.594,,1.456,1.582,0.861,0.686,0.34,0.286,2.383,2018,,,,
472,Denmark,Western Europe,3,7.555,,1.351,1.59,0.868,0.683,0.408,0.284,2.371,2018,,,,
473,Iceland,Western Europe,4,7.495,,1.343,1.644,0.914,0.677,0.138,0.353,2.426,2018,,,,
474,Switzerland,Western Europe,5,7.487,,1.42,1.549,0.927,0.66,0.357,0.256,2.318,2018,,,,
475,Netherlands,Western Europe,6,7.441,,1.361,1.488,0.878,0.638,0.295,0.333,2.448,2018,,,,
476,Canada,North America and ANZ,7,7.328,,1.33,1.532,0.896,0.653,0.291,0.321,2.305,2018,,,,
477,New Zealand,North America and ANZ,8,7.324,,1.268,1.601,0.876,0.669,0.389,0.365,2.156,2018,,,,
478,Sweden,Western Europe,9,7.314,,1.355,1.501,0.913,0.659,0.383,0.285,2.218,2018,,,,
479,Australia,North America and ANZ,10,7.272,,1.34,1.573,0.91,0.647,0.302,0.361,2.139,2018,,,,
480,United Kingdom,Western Europe,11,7.19,,1.244,1.433,0.888,0.464,0.082,0.262,2.817,2018,,,,
481,Austria,Western Europe,12,7.139,,1.341,1.504,0.891,0.617,0.224,0.242,2.32,2018,,,,
482,Costa Rica,Latin America and Caribbean,13,7.072,,1.01,1.459,0.817,0.632,0.101,0.143,2.91,2018,,,,
483,Ireland,Western Europe,14,6.977,,1.448,1.583,0.876,0.614,0.306,0.307,1.843,2018,,,,
484,Germany,Western Europe,15,6.965,,1.34,1.474,0.861,0.586,0.28,0.273,2.151,2018,,,,
485,Belgium,Western Europe,16,6.927,,1.324,1.483,0.894,0.583,0.24,0.188,2.215,2018,,,,
486,Luxembourg,Western Europe,17,6.91,,1.576,1.52,0.896,0.632,0.321,0.196,1.769,2018,,,,
487,United States,North America and ANZ,18,6.886,,1.398,1.471,0.819,0.547,0.133,0.291,2.227,2018,,,,
488,Israel,Middle East and North Africa,19,6.814,,1.301,1.559,0.883,0.533,0.272,0.354,1.912,2018,,,,
489,United Arab Emirates,Middle East and North Africa,20,6.774,,2.096,0.776,0.67,0.284,,0.186,2.762,2018,,,,
490,Czech Republic,Central and Eastern Europe,21,6.711,,1.233,1.489,0.854,0.543,0.034,0.064,2.494,2018,,,,
491,Malta,Western Europe,22,6.627,,1.27,1.525,0.884,0.645,0.142,0.376,1.785,2018,,,,
492,France,Western Europe,23,6.489,,1.293,1.466,0.908,0.52,0.176,0.098,2.028,2018,,,,
493,Mexico,Latin America and Caribbean,24,6.488,,1.038,1.252,0.761,0.479,0.095,0.069,2.794,2018,,,,
494,Chile,Latin America and Caribbean,25,6.476,,1.131,1.331,0.808,0.431,0.061,0.197,2.517,2018,,,,
495,Taiwan,Western Europe,26,6.441,,1.365,1.436,0.857,0.418,0.078,0.151,2.136,2018,,,,
496,Panama,Latin America and Caribbean,27,6.43,,1.112,1.438,0.759,0.597,0.063,0.125,2.336,2018,,,,
497,Brazil,Latin America and Caribbean,28,6.419,,0.986,1.474,0.675,0.493,0.088,0.11,2.593,2018,,,,
498,Argentina,Latin America and Caribbean,29,6.388,,1.073,1.468,0.744,0.57,0.054,0.062,2.417,2018,,,,
499,Guatemala,Latin America and Caribbean,30,6.382,,0.781,1.268,0.608,0.604,0.071,0.179,2.871,2018,,,,
500,Uruguay,Latin America and Caribbean,31,6.379,,1.093,1.459,0.771,0.625,0.155,0.13,2.146,2018,,,,
501,Qatar,Western Europe,32,6.374,,1.649,1.303,0.748,0.654,0.171,0.256,1.593,2018,,,,
502,Saudi Arabia,Middle East and North Africa,33,6.371,,1.379,1.331,0.633,0.509,0.127,0.098,2.294,2018,,,,
503,Singapore,Southeast Asia,34,6.343,,1.529,1.451,1.008,0.631,0.457,0.261,1.006,2018,,,,
504,Malaysia,Southeast Asia,35,6.322,,1.161,1.258,0.669,0.356,0.059,0.311,2.508,2018,,,,
505,Spain,Western Europe,36,6.31,,1.251,1.538,0.965,0.449,0.074,0.142,1.891,2018,,,,
506,Colombia,Latin America and Caribbean,37,6.26,,0.96,1.439,0.635,0.531,0.039,0.099,2.557,2018,,,,
507,Trinidad & Tobago,Sub-Saharan Africa,38,6.192,,1.223,1.492,0.564,0.575,0.019,0.171,2.148,2018,,,,
508,Slovakia,Central and Eastern Europe,39,6.173,,1.21,1.537,0.776,0.354,0.014,0.118,2.164,2018,,,,
509,El Salvador,Latin America and Caribbean,40,6.167,,0.806,1.231,0.639,0.461,0.082,0.065,2.883,2018,,,,
510,Nicaragua,Latin America and Caribbean,41,6.141,,0.668,1.319,0.7,0.527,0.128,0.208,2.591,2018,,,,
511,Poland,Central and Eastern Europe,42,6.123,,1.176,1.448,0.781,0.546,0.064,0.108,2.0,2018,,,,
512,Bahrain,Middle East and North Africa,43,6.105,,1.338,1.366,0.698,0.594,0.123,0.243,1.743,2018,,,,
513,Uzbekistan,Commonwealth of Independent States,44,6.096,,0.719,1.584,0.605,0.724,0.259,0.328,1.877,2018,,,,
514,Kuwait,Middle East and North Africa,45,6.083,,1.474,1.301,0.675,0.554,0.106,0.167,1.806,2018,,,,
515,Thailand,Southeast Asia,46,6.072,,1.016,1.417,0.707,0.637,0.029,0.364,1.902,2018,,,,
516,Italy,Western Europe,47,6.0,,1.264,1.501,0.946,0.281,0.028,0.137,1.843,2018,,,,
517,Ecuador,Latin America and Caribbean,48,5.973,,0.889,1.33,0.736,0.556,0.12,0.114,2.228,2018,,,,
518,Belize,Western Europe,49,5.956,,0.807,1.101,0.474,0.593,0.089,0.183,2.709,2018,,,,
519,Lithuania,Central and Eastern Europe,50,5.952,,1.197,1.527,0.716,0.35,0.006,0.026,2.13,2018,,,,
520,Slovenia,Central and Eastern Europe,51,5.948,,1.219,1.506,0.856,0.633,0.051,0.16,1.523,2018,,,,
521,Romania,Central and Eastern Europe,52,5.945,,1.116,1.219,0.726,0.528,0.001,0.088,2.267,2018,,,,
522,Latvia,Central and Eastern Europe,53,5.933,,1.148,1.454,0.671,0.363,0.066,0.092,2.139,2018,,,,
523,Japan,East Asia,54,5.915,,1.294,1.462,0.988,0.553,0.15,0.079,1.389,2018,,,,
524,Mauritius,Sub-Saharan Africa,55,5.891,,1.09,1.387,0.684,0.584,0.05,0.245,1.851,2018,,,,
525,Jamaica,Latin America and Caribbean,56,5.89,,0.819,1.493,0.693,0.575,0.031,0.096,2.183,2018,,,,
526,South Korea,East Asia,57,5.875,,1.266,1.204,0.955,0.244,0.051,0.175,1.98,2018,,,,
527,Northern Cyprus,Central and Eastern Europe,58,5.835,,1.229,1.211,0.909,0.495,0.154,0.179,1.658,2018,,,,
528,Russia,Commonwealth of Independent States,59,5.81,,1.151,1.479,0.599,0.399,0.025,0.065,2.092,2018,,,,
529,Kazakhstan,Commonwealth of Independent States,60,5.79,,1.143,1.516,0.631,0.454,0.121,0.148,1.777,2018,,,,
530,Cyprus,Western Europe,61,5.762,,1.229,1.191,0.909,0.423,0.035,0.202,1.773,2018,,,,
531,Bolivia,Latin America and Caribbean,62,5.752,,0.751,1.223,0.508,0.606,0.054,0.141,2.469,2018,,,,
532,Estonia,Central and Eastern Europe,63,5.739,,1.2,1.532,0.737,0.553,0.174,0.086,1.457,2018,,,,
533,Paraguay,Latin America and Caribbean,64,5.681,,0.835,1.522,0.615,0.541,0.074,0.162,1.932,2018,,,,
534,Peru,Latin America and Caribbean,65,5.663,,0.934,1.249,0.674,0.53,0.034,0.092,2.15,2018,,,,
535,Kosovo,Central and Eastern Europe,66,5.662,,0.855,1.23,0.578,0.448,0.023,0.274,2.254,2018,,,,
536,Moldova,Commonwealth of Independent States,67,5.64,,0.657,1.301,0.62,0.232,0.0,0.171,2.659,2018,,,,
537,Turkmenistan,Commonwealth of Independent States,68,5.636,,1.016,1.533,0.517,0.417,0.037,0.199,1.917,2018,,,,
538,Hungary,Central and Eastern Europe,69,5.62,,1.171,1.401,0.732,0.259,0.022,0.061,1.974,2018,,,,
539,Libya,Middle East and North Africa,70,5.566,,0.985,1.35,0.553,0.496,0.148,0.116,1.918,2018,,,,
540,Philippines,Southeast Asia,71,5.524,,0.775,1.312,0.513,0.643,0.105,0.12,2.056,2018,,,,
541,Honduras,Latin America and Caribbean,72,5.504,,0.62,1.205,0.622,0.459,0.074,0.197,2.327,2018,,,,
542,Belarus,Commonwealth of Independent States,73,5.483,,1.039,1.498,0.7,0.307,0.154,0.101,1.684,2018,,,,
543,Turkey,Middle East and North Africa,74,5.483,,1.148,1.38,0.686,0.324,0.109,0.106,1.73,2018,,,,
544,Pakistan,South Asia,75,5.472,,0.652,0.81,0.424,0.334,0.113,0.216,2.923,2018,,,,
545,Hong Kong,Latin America and Caribbean,76,5.43,,1.405,1.29,1.03,0.524,0.291,0.246,0.644,2018,,,,
546,Portugal,Western Europe,77,5.41,,1.188,1.429,0.884,0.562,0.017,0.055,1.275,2018,,,,
547,Serbia,Central and Eastern Europe,78,5.398,,0.975,1.369,0.685,0.288,0.043,0.134,1.904,2018,,,,
548,Greece,Western Europe,79,5.358,,1.154,1.202,0.879,0.131,0.044,0.0,1.948,2018,,,,
549,Lebanon,Middle East and North Africa,80,5.358,,0.965,1.179,0.785,0.503,0.136,0.214,1.576,2018,,,,
550,Montenegro,Central and Eastern Europe,81,5.347,,1.017,1.279,0.729,0.259,0.081,0.111,1.871,2018,,,,
551,Croatia,Central and Eastern Europe,82,5.321,,1.115,1.161,0.737,0.38,0.039,0.12,1.769,2018,,,,
552,Dominican Republic,Latin America and Caribbean,83,5.302,,0.982,1.441,0.614,0.578,0.106,0.12,1.461,2018,,,,
553,Algeria,Middle East and North Africa,84,5.295,,0.979,1.154,0.687,0.077,0.135,0.055,2.208,2018,,,,
554,Morocco,Middle East and North Africa,85,5.254,,0.779,0.797,0.669,0.46,0.074,0.026,2.449,2018,,,,
